E_nom_kwh,P_max_kw,baseline_cost_nok,battery_cost_nok,annual_savings_nok,capex_nok,npv_nok,solve_time_s
20,10,163155.9528429206,156613.17272138086,6542.7801215397485,100000,-32088.17971941176,1.014291524887085
20,25,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,1.1170222759246826
20,40,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,1.6305110454559326
20,55,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,0.8243932723999023
20,70,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,1.088139295578003
20,85,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,1.4095799922943115
20,100,163155.9528429206,155628.38660827334,7527.566234647267,100000,-21866.436624606693,1.1873366832733154
50,10,163155.9528429206,152391.62130503295,10764.331537887658,250000,-138269.91962712354,1.479421854019165
50,25,163155.9528429206,148258.90780033974,14897.045042580865,250000,-95373.76667863721,1.4049129486083984
50,40,163155.9528429206,147146.93599531546,16009.016847605142,250000,-83831.87959438679,1.5134711265563965
50,55,163155.9528429206,147122.00517635702,16033.947666563588,250000,-83573.10621898633,1.9257047176361084
50,70,163155.9528429206,147122.00517635702,16033.947666563588,250000,-83573.10621898633,1.7408385276794434
50,85,163155.9528429206,147122.00517635702,16033.947666563588,250000,-83573.10621898633,1.7737360000610352
50,100,163155.9528429206,147122.00517635702,16033.947666563588,250000,-83573.10621898633,1.1784162521362305
80,10,163155.9528429206,150518.475319869,12637.47752305161,400000,-268827.30484553083,2.007354736328125
80,25,163155.9528429206,143582.33592388668,19573.61691903392,400000,-196832.54981008195,0.7822775840759277
80,40,163155.9528429206,141711.2570569474,21444.69578597322,400000,-177411.3910087856,0.7473452091217041
80,55,163155.9528429206,141079.18482666893,22076.768016251677,400000,-170850.69740306513,0.7757139205932617
80,70,163155.9528429206,140905.69283572724,22250.26000719337,400000,-169049.90986472723,0.9057362079620361
80,85,163155.9528429206,140905.69283572724,22250.26000719337,400000,-169049.90986472723,1.0313808917999268
80,100,163155.9528429206,140905.69283572724,22250.26000719337,400000,-169049.90986472723,1.0908944606781006
110,10,163155.9528429206,163155.9528429206,0.0,550000,-550000.0,0.010128974914550781
110,25,163155.9528429206,140191.40296303362,22964.549879887003,550000,-311635.82524603175,1.0382323265075684
110,40,163155.9528429206,137566.45435431617,25589.498488604448,550000,-284389.7563197468,1.1573317050933838
110,55,163155.9528429206,136683.85252978237,26472.100313138246,550000,-275228.6511972117,1.4852406978607178
110,70,163155.9528429206,136211.5500383308,26944.402804589805,550000,-270326.3128453638,1.0362229347229004
110,85,163155.9528429206,135886.33396448038,27269.618878440237,550000,-266950.6812102766,1.1446876525878906
110,100,163155.9528429206,135884.91391307098,27271.038929849623,550000,-266935.94156225055,1.1200988292694092
140,10,163155.9528429206,163155.9528429206,0.0,700000,-700000.0,0.01092529296875
140,25,163155.9528429206,137629.64433074702,25526.308512173608,700000,-435045.6466665396,1.1562020778656006
140,40,163155.9528429206,134285.19542999667,28870.75741292394,700000,-400331.4107505822,1.2485737800598145
140,55,163155.9528429206,133193.74405726753,29962.208785653092,700000,-389002.51873635076,1.2700927257537842
140,70,163155.9528429206,132587.6263003063,30568.32654261431,700000,-382711.2236882243,0.8300976753234863
140,85,163155.9528429206,132155.4144674334,31000.538375487187,700000,-378225.0126629486,1.2299470901489258
140,100,163155.9528429206,131921.5372055399,31234.415637380698,700000,-375797.4466615879,1.393707275390625
170,10,163155.9528429206,163155.9528429206,0.0,850000,-850000.0,0.01294708251953125
170,25,163155.9528429206,135816.70995030645,27339.242892614162,850000,-566228.0077519058,1.0329675674438477
170,40,163155.9528429206,131661.31081574332,31494.64202717729,850000,-523096.385722989,1.0786519050598145
170,55,163155.9528429206,130312.61996025458,32843.332882666036,850000,-509097.43584379455,1.078587532043457
170,70,163155.9528429206,129601.19659871503,33554.756244205586,850000,-501713.1046306411,0.9238986968994141
170,85,163155.9528429206,129081.44602187569,34074.50682104493,850000,-496318.2713779016,1.3874964714050293
170,100,163155.9528429206,128785.59347213825,34370.35937078235,850000,-493247.42308190337,1.348109245300293
200,10,163155.9528429206,163155.9528429206,0.0,1000000,-1000000.0,0.009216785430908203
200,25,163155.9528429206,134665.92829636007,28490.02454656053,1000000,-704283.2877073307,0.9743380546569824
200,40,163155.9528429206,129537.78716918732,33618.165673733296,1000000,-651054.9364357474,1.0976417064666748
200,55,163155.9528429206,127939.85581483414,35216.09702808647,1000000,-634468.9554090747,1.1547343730926514
200,70,163155.9528429206,127115.3321848294,36040.62065809122,1000000,-625910.682085226,1.1996939182281494
200,85,163155.9528429206,126525.89475810621,36630.058084814395,1000000,-619792.5231609343,2.282921314239502
200,100,163155.9528429206,126184.13904865531,36971.8137942653,1000000,-616245.2157642381,0.8916497230529785
