month,pv_total_kwh,load_total_kwh,grid_import_kwh,grid_export_kwh,battery_charge_kwh,battery_discharge_kwh,curtailment_kwh,energy_cost_nok,power_cost_nok,total_cost_nok,peak_kw
1,819.3739999999999,10935.191225889042,10705.084627297347,303.3947823497074,2172.906323419247,1970.7946238461307,0.0,14387.243261727828,904.3166382124317,15291.55989994025,32.29702279330113
2,2952.2929999999997,10502.049508241114,8641.94146896771,777.6889528748148,2272.2359753372475,2045.0123778035227,0.0,10958.188917638232,825.8844127574193,11784.073330395659,29.49587188419355
3,6830.447,10312.140720589863,6450.018293767575,2645.559838412879,2331.9775882448785,2098.7798294203903,0.0,4168.195945477843,653.119320079022,4821.315265556873,23.325690002822217
4,11502.069,10502.049508241114,4688.916470071834,5348.469768323675,2459.8707581605818,2213.8836823445235,0.0,227.49288165364555,536.0647251569387,763.5576068105888,19.145168755604953
5,15412.643,10935.191225889042,3890.4439388321916,7985.360344650196,2655.5847771286703,2390.0262994158034,14.980756895265664,-3190.517245236959,458.76074182601457,-2731.756503410943,16.38431220807195
6,15024.787,6146.3090387621705,1752.3977098353507,10303.506346833257,2365.245781149538,2128.721203034584,0.0,-4741.898021632578,209.554524304829,-4532.343497327749,7.4840901537438915
7,12224.101999999999,6642.597767082312,2025.66875375801,7338.133564224303,1943.811810692762,1749.4306296234854,0.0,-2931.416892301503,209.554524304829,-2721.8623679966745,7.484090153743892
8,11336.205999999998,8160.090596880808,2952.5448725820743,5855.477907637982,1973.7446232823554,1776.3701609541197,0.0,-1035.3949660972398,279.56068893019363,-755.834277167046,9.984310318935487
9,5864.393,10190.524255591525,6336.038398005194,1717.2809378723312,2114.2264851851114,1902.8038366666003,0.0,5295.6978579015595,534.8880906994958,5830.5859486010495,19.103146096410565
10,3690.625,10935.191225889044,8386.465255275802,844.8730704527877,2146.014743108891,1931.4132687980016,0.0,8828.903586156483,745.5804127574195,9574.4839989139,26.627871884193553
11,1009.363,10190.524255591525,9666.191083125472,232.4809225523308,1824.6677003979905,1642.2009303581913,0.0,10993.654449991456,861.871246827189,11855.525696818633,30.78111595811389
12,512.271,8994.26053107686,9057.723311538883,306.4312032102901,1945.713106065304,1751.1417954587732,0.0,11645.186772417681,727.6168350669013,12372.80360748458,25.98631553810362
